secid,ticker,exchangecd,secshortname,enddate,period,overallrating
260116.OFCN,260116,,景顺长城核心竞争力混合-A,2020-03-31,3,4
260117.OFCN,260117,,景顺长城支柱产业混合,2020-03-31,3,4
261001.OFCN,261001,,景顺长城稳定收益债券-A,2020-03-31,5,4
261101.OFCN,261101,,景顺长城稳定收益债券-C,2020-03-31,5,4
270009.OFCN,270009,,广发增强债券,2020-03-31,5,4
270021.OFCN,270021,,广发聚瑞混合-A,2020-03-31,5,4
270041.OFCN,270041,,广发消费品精选混合-A,2020-03-31,5,4
270044.OFCN,270044,,广发双债添利债券-A,2020-03-31,3,4
270045.OFCN,270045,,广发双债添利债券-C,2020-03-31,3,4
270048.OFCN,270048,,广发纯债债券-A,2020-03-31,5,4
270049.OFCN,270049,,广发纯债债券-C,2020-03-31,5,4
290009.OFCN,290009,,泰信周期回报债券,2020-03-31,3,4
290009.OFCN,290009,,泰信周期回报债券,2020-03-31,5,4
320012.OFCN,320012,,诺安主题精选混合,2020-03-31,3,4
320012.OFCN,320012,,诺安主题精选混合,2020-03-31,5,4
320018.OFCN,320018,,诺安新动力灵活配置混合,2020-03-31,3,4
320022.OFCN2,320022,,诺安研究精选股票,2020-03-31,3,4
340001.OFCN,340001,,兴全可转债混合,2020-03-31,5,4
340001.OFCN,340001,,兴全可转债混合,2020-03-31,3,4
340007.OFCN,340007,,兴全社会责任混合,2020-03-31,5,4
340009.OFCN,340009,,兴全磐稳增利债券-A,2020-03-31,5,4
350005.OFCN,350005,,天治中国制造2025灵活配置混合,2020-03-31,3,4
360008.OFCN,360008,,光大保德信增利收益债券-A,2020-03-31,5,4
360009.OFCN,360009,,光大保德信增利收益债券-C,2020-03-31,5,4
360010.OFCN,360010,,光大保德信均衡精选混合,2020-03-31,5,4
360012.OFCN,360012,,光大保德信中小盘混合,2020-03-31,5,4
360016.OFCN,360016,,光大保德信行业轮动混合,2020-03-31,5,4
373020.OFCN,373020,,上投摩根双核平衡混合,2020-03-31,5,4
377150.OFCN,377150,,上投摩根健康品质生活混合,2020-03-31,5,4
380005.OFCN,380005,,中银纯债债券-A,2020-03-31,3,4
380006.OFCN,380006,,中银纯债债券-C,2020-03-31,3,4
398041.OFCN,398041,,中海量化策略混合,2020-03-31,5,4
400023.OFCN,400023,,东方多策略灵活配置混合-A,2020-03-31,5,4
400025.OFCN,400025,,东方新兴成长混合,2020-03-31,3,4
410007.OFCN,410007,,华富价值增长灵活配置混合,2020-03-31,5,4
420002.OFCN,420002,,天弘永利债券-A,2020-03-31,5,4
420003.OFCN,420003,,天弘永定价值成长混合,2020-03-31,5,4
420008.OFCN,420008,,天弘债券-A,2020-03-31,3,4
420102.OFCN,420102,,天弘永利债券-B,2020-03-31,5,4
420108.OFCN,420108,,天弘债券-B,2020-03-31,3,4
450001.OFCN,450001,,国富中国收益混合,2020-03-31,3,4
450001.OFCN,450001,,国富中国收益混合,2020-03-31,5,4
450002.OFCN,450002,,国富弹性市值混合,2020-03-31,5,4
450003.OFCN,450003,,国富潜力组合混合-A,2020-03-31,3,4
450004.OFCN,450004,,国富深化价值混合,2020-03-31,3,4
450011.OFCN,450011,,国富研究精选混合,2020-03-31,3,4
460005.OFCN,460005,,华泰柏瑞价值增长混合-A,2020-03-31,3,4
460007.OFCN,460007,,华泰柏瑞行业领先混合,2020-03-31,5,4
460007.OFCN,460007,,华泰柏瑞行业领先混合,2020-03-31,3,4
460108.OFCN,460108,,华泰柏瑞稳健收益债券-C,2020-03-31,3,4
460108.OFCN,460108,,华泰柏瑞稳健收益债券-C,2020-03-31,5,4
470009.OFCN,470009,,汇添富民营活力混合-A,2020-03-31,5,4
481008.OFCN,481008,,工银瑞信大盘蓝筹混合,2020-03-31,3,4
481013.OFCN,481013,,工银瑞信消费服务行业混合-A,2020-03-31,5,4
481017.OFCN,481017,,工银瑞信基本面量化策略混合-A,2020-03-31,5,4
485011.OFCN,485011,,工银瑞信双利债券-B,2020-03-31,5,4
485111.OFCN,485111,,工银瑞信双利债券-A,2020-03-31,5,4
485119.OFCN,485119,,工银瑞信信用纯债债券-A,2020-03-31,5,4
487021.OFCN2,487021,,工银瑞信优质精选混合,2020-03-31,3,4
519002.OFCN,519002,,华安安信消费服务混合,2020-03-31,3,4
519003.OFCN,519003,,海富通收益增长,2020-03-31,5,4
519035.OFCN,519035,,富国天博创新主题混合,2020-03-31,3,4
519066.OFCN,519066,,汇添富蓝筹稳健灵活配置混合,2020-03-31,3,4
519069.OFCN,519069,,汇添富价值精选混合-A,2020-03-31,5,4
519091.OFCN,519091,,新华泛资源优势灵活配置混合,2020-03-31,3,4
519113.OFCN,519113,,浦银安盛精致生活灵活配置混合,2020-03-31,5,4
519115.OFCN,519115,,浦银安盛红利精选混合,2020-03-31,5,4
519127.OFCN,519127,,浦银安盛盛世精选灵活配置混合-A,2020-03-31,3,4
519130.OFCN,519130,,海富通新内需灵活配置混合-A,2020-03-31,3,4
519133.OFCN,519133,,海富通改革驱动灵活配置混合,2020-03-31,3,4
519177.OFCN,519177,,浦银安盛盛世精选灵活配置混合-C,2020-03-31,3,4
519181.OFCN,519181,,万家和谐增长混合,2020-03-31,5,4
519183.OFCN,519183,,万家双引擎灵活配置混合,2020-03-31,5,4
519185.OFCN,519185,,万家精选混合,2020-03-31,5,4
519186.OFCN,519186,,万家稳健增利债券-A,2020-03-31,5,4
519188.OFCN,519188,,万家信用恒利债券-A,2020-03-31,5,4
519189.OFCN,519189,,万家信用恒利债券-C,2020-03-31,5,4
519221.OFCN,519221,,海富通欣益灵活配置混合-C,2020-03-31,3,4
519610.OFCN,519610,,银河旺利灵活配置混合-A,2020-03-31,3,4
519611.OFCN,519611,,银河旺利灵活配置混合-C,2020-03-31,3,4
519612.OFCN,519612,,银河旺利灵活配置混合-I,2020-03-31,3,4
519619.OFCN,519619,,银河君荣灵活配置混合-A,2020-03-31,3,4
519620.OFCN,519620,,银河君荣灵活配置混合-C,2020-03-31,3,4
519642.OFCN,519642,,银河大国智造主题灵活配置混合,2020-03-31,3,4
519655.OFCN,519655,,银河现代服务主题灵活配置混合,2020-03-31,3,4
519666.OFCN,519666,,银河银信添利债券-B,2020-03-31,3,4
519666.OFCN,519666,,银河银信添利债券-B,2020-03-31,5,4
519667.OFCN,519667,,银河银信添利债券-A,2020-03-31,3,4
519667.OFCN,519667,,银河银信添利债券-A,2020-03-31,5,4
519672.OFCN,519672,,银河蓝筹精选混合,2020-03-31,5,4
519672.OFCN,519672,,银河蓝筹精选混合,2020-03-31,3,4
519673.OFCN,519673,,银河康乐股票,2020-03-31,3,4
519674.OFCN,519674,,银河创新成长混合,2020-03-31,3,4
519688.OFCN,519688,,交银精选混合,2020-03-31,3,4
519688.OFCN,519688,,交银精选混合,2020-03-31,5,4
519690.OFCN,519690,,交银稳健配置混合-A,2020-03-31,3,4
519690.OFCN,519690,,交银稳健配置混合-A,2020-03-31,5,4
519694.OFCN,519694,,交银蓝筹混合,2020-03-31,5,4
519697.OFCN,519697,,交银优势行业混合,2020-03-31,3,4
519712.OFCN,519712,,交银阿尔法核心混合,2020-03-31,3,4
519714.OFCN2,519714,,交银消费新驱动股票,2020-03-31,3,4
519718.OFCN,519718,,交银纯债债券-A/B,2020-03-31,3,4
519720.OFCN,519720,,交银纯债债券-C,2020-03-31,3,4
519723.OFCN,519723,,交银双轮动债券-A/B,2020-03-31,3,4
519725.OFCN,519725,,交银双轮动债券-C,2020-03-31,5,4
519725.OFCN,519725,,交银双轮动债券-C,2020-03-31,3,4
519727.OFCN,519727,,交银成长30混合,2020-03-31,5,4
519763.OFCN,519763,,交银裕通纯债债券-C,2020-03-31,3,4
519915.OFCN,519915,,富国消费主题混合-A,2020-03-31,3,4
519951.OFCN,519951,,长信利泰灵活配置混合-A,2020-03-31,3,4
519959.OFCN,519959,,长信多利灵活配置混合,2020-03-31,3,4
519962.OFCN,519962,,长信利盈灵活配置混合-C,2020-03-31,3,4
519963.OFCN,519963,,长信利盈灵活配置混合-A,2020-03-31,3,4
519983.OFCN,519983,,长信量化先锋混合-A,2020-03-31,5,4
519985.OFCN2,519985,,长信纯债壹号债券-A,2020-03-31,3,4
530003.OFCN,530003,,建信优选成长混合-A,2020-03-31,5,4
530012.OFCN2,530012,,建信积极配置混合,2020-03-31,5,4
530016.OFCN,530016,,建信恒稳价值混合,2020-03-31,5,4
530016.OFCN,530016,,建信恒稳价值混合,2020-03-31,3,4
531008.OFCN,531008,,建信稳定增利债券-A,2020-03-31,5,4
531021.OFCN,531021,,建信纯债债券-C,2020-03-31,3,4
540002.OFCN,540002,,汇丰晋信龙腾混合,2020-03-31,5,4
540003.OFCN,540003,,汇丰晋信动态策略混合-A,2020-03-31,5,4
550002.OFCN,550002,,中信保诚精萃成长混合,2020-03-31,3,4
550002.OFCN,550002,,中信保诚精萃成长混合,2020-03-31,5,4
550003.OFCN,550003,,中信保诚盛世蓝筹混合,2020-03-31,5,4
570005.OFCN,570005,,诺德成长优势混合,2020-03-31,3,4
570008.OFCN,570008,,诺德周期策略混合,2020-03-31,5,4
571002.OFCN,571002,,诺德主题灵活配置混合,2020-03-31,5,4
582002.OFCN,582002,,东吴增利债券-A,2020-03-31,5,4
590009.OFCN,590009,,中邮稳定收益债券-A,2020-03-31,3,4
590009.OFCN,590009,,中邮稳定收益债券-A,2020-03-31,5,4
590010.OFCN,590010,,中邮稳定收益债券-C,2020-03-31,5,4
590010.OFCN,590010,,中邮稳定收益债券-C,2020-03-31,3,4
610002.OFCN,610002,,信达澳银精华灵活配置混合-A,2020-03-31,5,4
650002.OFCN,650002,,英大纯债债券-C,2020-03-31,5,4
660002.OFCN,660002,,农银汇理恒久增利债券-A,2020-03-31,3,4
660013.OFCN,660013,,农银汇理信用添利债券,2020-03-31,3,4
660015.OFCN,660015,,农银汇理行业轮动混合,2020-03-31,5,4
660102.OFCN,660102,,农银汇理恒久增利债券-C,2020-03-31,3,4
673010.OFCN,673010,,西部利得新动向灵活配置混合,2020-03-31,5,4
688888.OFCN,688888,,浙商聚潮产业成长混合,2020-03-31,5,4
690004.OFCN,690004,,民生加银稳健成长混合,2020-03-31,5,4
690005.OFCN,690005,,民生加银内需增长混合,2020-03-31,5,4
690007.OFCN,690007,,民生加银景气行业混合-A,2020-03-31,3,4
690009.OFCN,690009,,民生加银红利回报灵活配置混合,2020-03-31,5,4
700006.OFCN,700006,,平安添利债券-C,2020-03-31,3,4
710002.OFCN,710002,,富安达策略精选灵活配置混合,2020-03-31,3,4
710002.OFCN,710002,,富安达策略精选灵活配置混合,2020-03-31,5,4
720001.OFCN,720001,,财通价值动量混合,2020-03-31,5,4
750002.OFCN,750002,,安信目标收益债券-A,2020-03-31,3,4
750003.OFCN,750003,,安信目标收益债券-C,2020-03-31,3,4
750003.OFCN,750003,,安信目标收益债券-C,2020-03-31,5,4
750005.OFCN,750005,,安信平稳增长混合-A,2020-03-31,3,4
960000.OFHK,960000,,汇丰晋信大盘股票-H,2020-03-31,3,4
960007.OFHK,960007,,上投摩根新兴动力混合-H,2020-03-31,3,4
960008.OFHK,960008,,景顺长城核心竞争力混合-H,2020-03-31,3,4
960012.OFHK,960012,,中银收益混合-H,2020-03-31,3,4
000014.OFCN,14,,华夏聚利债券,2020-03-31,5,3
000017.OFCN,17,,财通可持续发展主题混合,2020-03-31,3,3
000017.OFCN,17,,财通可持续发展主题混合,2020-03-31,5,3
000031.OFCN,31,,华夏复兴混合,2020-03-31,5,3
000039.OFCN,39,,农银汇理低估值高增长混合,2020-03-31,5,3
000047.OFCN,47,,华夏双债增强债券-A,2020-03-31,5,3
000047.OFCN,47,,华夏双债增强债券-A,2020-03-31,3,3
000048.OFCN,48,,华夏双债增强债券-C,2020-03-31,3,3
000048.OFCN,48,,华夏双债增强债券-C,2020-03-31,5,3
000054.OFCN,54,,鹏华双债增利债券,2020-03-31,3,3
000057.OFCN,57,,中银消费主题混合,2020-03-31,3,3
000069.OFCN,69,,国投瑞银中高等级债券-A,2020-03-31,3,3
000070.OFCN,70,,国投瑞银中高等级债券-C,2020-03-31,3,3
000073.OFCN,73,,上投摩根成长动力混合,2020-03-31,5,3
000117.OFCN,117,,广发轮动配置混合,2020-03-31,5,3
000118.OFCN,118,,广发聚鑫债券-A,2020-03-31,3,3
000118.OFCN,118,,广发聚鑫债券-A,2020-03-31,5,3
000119.OFCN,119,,广发聚鑫债券-C,2020-03-31,5,3
000119.OFCN,119,,广发聚鑫债券-C,2020-03-31,3,3
000122.OFCN,122,,汇添富实业债债券-A,2020-03-31,5,3
000124.OFCN,124,,华宝服务优选混合,2020-03-31,5,3
000130.OFCN,130,,大成景兴信用债债券-A,2020-03-31,5,3
000131.OFCN,131,,大成景兴信用债债券-C,2020-03-31,5,3
000136.OFCN,136,,民生加银策略精选灵活配置混合-A,2020-03-31,3,3
000143.OFCN,143,,鹏华双债加利债券,2020-03-31,3,3
000149.OFCN,149,,华安双债添利债券-A,2020-03-31,3,3
000150.OFCN,150,,华安双债添利债券-C,2020-03-31,3,3
000150.OFCN,150,,华安双债添利债券-C,2020-03-31,5,3
000153.OFCN,153,,大成景旭纯债债券-C,2020-03-31,3,3
000167.OFCN,167,,广发聚优灵活配置混合-A,2020-03-31,5,3
000173.OFCN,173,,汇添富美丽30混合,2020-03-31,3,3
000173.OFCN,173,,汇添富美丽30混合,2020-03-31,5,3
000174.OFCN,174,,汇添富高息债债券-A,2020-03-31,3,3
000174.OFCN,174,,汇添富高息债债券-A,2020-03-31,5,3
000219.OFCN,219,,博时裕益灵活配置混合,2020-03-31,3,3
000219.OFCN,219,,博时裕益灵活配置混合,2020-03-31,5,3
000236.OFCN,236,,工银瑞信月月薪定期支付债券-A,2020-03-31,5,3
000241.OFCN,241,,宝盈核心优势灵活配置混合-C,2020-03-31,3,3
000241.OFCN,241,,宝盈核心优势灵活配置混合-C,2020-03-31,5,3
000242.OFCN,242,,景顺长城策略精选灵活配置混合,2020-03-31,5,3
000251.OFCN,251,,工银瑞信金融地产行业混合-A,2020-03-31,3,3
000253.OFCN,253,,景顺长城景兴信用纯债债券-C,2020-03-31,5,3
000256.OFCN,256,,上投摩根红利回报混合-A,2020-03-31,5,3
000259.OFCN,259,,农银汇理区间收益灵活配置混合,2020-03-31,3,3
000263.OFCN,263,,工银瑞信信息产业混合-A,2020-03-31,3,3
000263.OFCN,263,,工银瑞信信息产业混合-A,2020-03-31,5,3
000279.OFCN,279,,华商红利优选灵活配置混合,2020-03-31,3,3
000297.OFCN,297,,鹏华可转债债券-A,2020-03-31,3,3
000298.OFCN,298,,中海纯债债券-A,2020-03-31,5,3
000298.OFCN,298,,中海纯债债券-A,2020-03-31,3,3
000299.OFCN,299,,中海纯债债券-C,2020-03-31,3,3
000299.OFCN,299,,中海纯债债券-C,2020-03-31,5,3
000306.OFCN,306,,天弘弘利债券,2020-03-31,3,3
000308.OFCN,308,,建信创新中国混合,2020-03-31,3,3
000314.OFCN,314,,招商瑞丰灵活配置混合-A,2020-03-31,3,3
000333.OFCN,333,,长城稳固收益债券-A,2020-03-31,3,3
000338.OFCN,338,,鹏华双债保利债券,2020-03-31,3,3
000354.OFCN,354,,长盛城镇化主题混合,2020-03-31,5,3
000355.OFCN,355,,南方丰元信用增强债券-A,2020-03-31,3,3
000356.OFCN,356,,南方丰元信用增强债券-C,2020-03-31,3,3
000385.OFCN,385,,景顺长城景颐双利债券-A,2020-03-31,3,3
000385.OFCN,385,,景顺长城景颐双利债券-A,2020-03-31,5,3
000386.OFCN,386,,景顺长城景颐双利债券-C,2020-03-31,5,3
000395.OFCN,395,,汇添富安心中国债券-A,2020-03-31,5,3
000396.OFCN,396,,汇添富安心中国债券-C,2020-03-31,5,3
000396.OFCN,396,,汇添富安心中国债券-C,2020-03-31,3,3
000402.OFCN,402,,工银瑞信纯债债券-A,2020-03-31,3,3
000403.OFCN,403,,工银瑞信纯债债券-B,2020-03-31,5,3
000404.OFCN,404,,易方达新兴成长灵活配置混合,2020-03-31,3,3
000406.OFCN,406,,汇添富双利增强债券-A,2020-03-31,3,3
000406.OFCN,406,,汇添富双利增强债券-A,2020-03-31,5,3
000407.OFCN,407,,汇添富双利增强债券-C,2020-03-31,5,3
000407.OFCN,407,,汇添富双利增强债券-C,2020-03-31,3,3
000410.OFCN,410,,益民服务领先灵活配置混合,2020-03-31,3,3
000417.OFCN,417,,国联安新精选灵活配置混合,2020-03-31,5,3
000418.OFCN,418,,景顺长城成长之星股票,2020-03-31,3,3
000431.OFCN,431,,鹏华品牌传承灵活配置混合,2020-03-31,3,3
000432.OFCN,432,,中银优秀企业混合,2020-03-31,5,3
000433.OFCN,433,,安信鑫发优选灵活配置混合-A,2020-03-31,5,3
000458.OFCN,458,,英大领先回报混合,2020-03-31,3,3
000462.OFCN,462,,农银汇理主题轮动灵活配置混合,2020-03-31,3,3
000490.OFCN,490,,光大保德信岁末红利纯债债券-C,2020-03-31,5,3
000490.OFCN,490,,光大保德信岁末红利纯债债券-C,2020-03-31,3,3
000496.OFCN,496,,长安产业精选灵活配置混合-A,2020-03-31,5,3
000511.OFCN,511,,国泰国策驱动灵活配置混合-A,2020-03-31,5,3
000513.OFCN,513,,富国高端制造行业股票,2020-03-31,5,3
000520.OFCN,520,,上银新兴价值成长混合,2020-03-31,3,3
000523.OFCN,523,,国投瑞银医疗保健行业灵活配置混合-A,2020-03-31,3,3
000524.OFCN,524,,上投摩根民生需求股票,2020-03-31,3,3
000529.OFCN,529,,广发竞争优势灵活配置混合-A,2020-03-31,5,3
000529.OFCN,529,,广发竞争优势灵活配置混合-A,2020-03-31,3,3
000530.OFCN,530,,招商丰盛稳定增长灵活配置混合-A,2020-03-31,5,3
000530.OFCN,530,,招商丰盛稳定增长灵活配置混合-A,2020-03-31,3,3
000532.OFCN,532,,景顺长城优势企业混合,2020-03-31,5,3
000547.OFCN,547,,建信健康民生混合,2020-03-31,3,3
000549.OFCN,549,,华安大国新经济股票,2020-03-31,5,3
000549.OFCN,549,,华安大国新经济股票,2020-03-31,3,3
000551.OFCN,551,,信诚幸福消费混合,2020-03-31,3,3
000551.OFCN,551,,信诚幸福消费混合,2020-03-31,5,3
000561.OFCN,561,,南方启元债券-A,2020-03-31,3,3
000562.OFCN,562,,南方启元债券-C,2020-03-31,3,3
000574.OFCN,574,,宝盈新价值灵活配置混合-A,2020-03-31,5,3
000574.OFCN,574,,宝盈新价值灵活配置混合-A,2020-03-31,3,3
000577.OFCN,577,,安信价值精选股票,2020-03-31,3,3
000586.OFCN,586,,景顺长城中小创精选股票,2020-03-31,5,3
000587.OFCN,587,,大成灵活配置混合,2020-03-31,5,3
000592.OFCN,592,,建信改革红利股票,2020-03-31,3,3
000598.OFCN,598,,长盛生态环境主题灵活配置混合,2020-03-31,3,3
000601.OFCN,601,,华宝创新优选混合,2020-03-31,3,3
000601.OFCN,601,,华宝创新优选混合,2020-03-31,5,3
000609.OFCN,609,,华商新量化灵活配置混合,2020-03-31,3,3
000612.OFCN,612,,华宝生态中国混合,2020-03-31,3,3
000652.OFCN,652,,博时裕隆灵活配置混合,2020-03-31,3,3
000655.OFCN,655,,鑫元稳利债券,2020-03-31,3,3
000664.OFCN,664,,国联安通盈灵活配置混合-A,2020-03-31,3,3
000667.OFCN,667,,工银瑞信绝对收益策略混合-A,2020-03-31,5,3
000667.OFCN,667,,工银瑞信绝对收益策略混合-A,2020-03-31,3,3
000668.OFCN,668,,国寿安保尊享债券-A,2020-03-31,5,3
000668.OFCN,668,,国寿安保尊享债券-A,2020-03-31,3,3
000669.OFCN,669,,国寿安保尊享债券-C,2020-03-31,3,3
000669.OFCN,669,,国寿安保尊享债券-C,2020-03-31,5,3
000672.OFCN,672,,工银瑞信绝对收益策略混合-B,2020-03-31,3,3
000688.OFCN,688,,景顺长城研究精选股票,2020-03-31,3,3
000688.OFCN,688,,景顺长城研究精选股票,2020-03-31,5,3
000692.OFCN,692,,汇添富双利债券-C,2020-03-31,5,3
000692.OFCN,692,,汇添富双利债券-C,2020-03-31,3,3
000698.OFCN,698,,宝盈科技30灵活配置混合,2020-03-31,3,3
000698.OFCN,698,,宝盈科技30灵活配置混合,2020-03-31,5,3
000706.OFCN,706,,中邮多策略灵活配置混合,2020-03-31,5,3
000706.OFCN,706,,中邮多策略灵活配置混合,2020-03-31,3,3
000711.OFCN,711,,嘉实医疗保健股票,2020-03-31,3,3
000729.OFCN,729,,建信中小盘先锋股票,2020-03-31,5,3
000736.OFCN,736,,诺安聚利债券-A,2020-03-31,3,3
000737.OFCN,737,,诺安聚利债券-C,2020-03-31,3,3
000739.OFCN,739,,平安新鑫先锋混合-A,2020-03-31,3,3
000742.OFCN,742,,国泰新经济灵活配置混合,2020-03-31,3,3
000743.OFCN,743,,红塔红土盛世普益灵活配置混合,2020-03-31,5,3
000744.OFCN,744,,北信瑞丰稳定收益债券-A,2020-03-31,3,3
000746.OFCN,746,,招商行业精选股票,2020-03-31,5,3
000747.OFCN,747,,广发逆向策略灵活配置混合-A,2020-03-31,3,3
000755.OFCN,755,,富安达新兴成长灵活配置混合,2020-03-31,3,3
000756.OFCN,756,,建信潜力新蓝筹股票,2020-03-31,5,3
000763.OFCN,763,,工银瑞信新财富灵活配置混合,2020-03-31,3,3
000772.OFCN,772,,景顺长城中国回报灵活配置混合,2020-03-31,3,3
000778.OFCN,778,,鹏华先进制造股票,2020-03-31,3,3
000780.OFCN,780,,鹏华医疗保健股票,2020-03-31,5,3
000780.OFCN,780,,鹏华医疗保健股票,2020-03-31,3,3
000788.OFCN,788,,前海开源中国成长灵活配置混合,2020-03-31,5,3
000794.OFCN,794,,宝盈睿丰创新灵活配置混合-A/B,2020-03-31,5,3
000794.OFCN,794,,宝盈睿丰创新灵活配置混合-A/B,2020-03-31,3,3
000796.OFCN,796,,宝盈睿丰创新灵活配置混合-C,2020-03-31,3,3
000796.OFCN,796,,宝盈睿丰创新灵活配置混合-C,2020-03-31,5,3
000803.OFCN,803,,工银瑞信研究精选股票,2020-03-31,3,3
000824.OFCN,824,,圆信永丰双红利灵活配置混合-A,2020-03-31,3,3
000825.OFCN,825,,圆信永丰双红利灵活配置混合-C,2020-03-31,3,3
000828.OFCN,828,,泰达宏利转型机遇股票,2020-03-31,3,3
000839.OFCN,839,,上投摩根纯债丰利债券-A,2020-03-31,3,3
000840.OFCN,840,,上投摩根纯债丰利债券-C,2020-03-31,3,3
000841.OFCN,841,,富国新回报灵活配置混合-A/B,2020-03-31,3,3
000843.OFCN,843,,富国新回报灵活配置混合-C,2020-03-31,3,3
000849.OFCN,849,,汇丰晋信双核策略混合-A,2020-03-31,3,3
000850.OFCN,850,,汇丰晋信双核策略混合-C,2020-03-31,3,3
000867.OFCN,867,,华宝品质生活股票,2020-03-31,3,3
000870.OFCN,870,,嘉实新收益灵活配置混合,2020-03-31,3,3
000877.OFCN,877,,华泰柏瑞量化优选灵活配置混合,2020-03-31,3,3
000889.OFCN,889,,上投摩根纯债添利债券-A,2020-03-31,3,3
000890.OFCN,890,,上投摩根纯债添利债券-C,2020-03-31,3,3
000892.OFCN,892,,九泰天宝灵活配置混合-A,2020-03-31,3,3
000928.OFCN,928,,中融国企改革灵活配置混合,2020-03-31,3,3
000936.OFCN,936,,博时产业新动力灵活配置混合-A,2020-03-31,3,3
000939.OFCN,939,,中银研究精选灵活配置混合-A,2020-03-31,3,3
000943.OFCN,943,,工银瑞信中高等级信用债债券-A,2020-03-31,3,3
000944.OFCN,944,,工银瑞信中高等级信用债债券-B,2020-03-31,3,3
000945.OFCN,945,,华夏医疗健康混合-A,2020-03-31,3,3
000946.OFCN,946,,华夏医疗健康混合-C,2020-03-31,3,3
000963.OFCN,963,,兴业多策略灵活配置混合,2020-03-31,3,3
000965.OFCN,965,,汇丰晋信新动力混合,2020-03-31,3,3
000974.OFCN,974,,安信消费医药主题股票,2020-03-31,3,3
000976.OFCN,976,,长城新兴产业灵活配置混合,2020-03-31,3,3
000977.OFCN,977,,长城环保主题灵活配置混合,2020-03-31,3,3
000985.OFCN,985,,嘉实逆向策略股票,2020-03-31,3,3
001000.OFCN,1000,,中欧明睿新起点混合,2020-03-31,3,3
001001.OFCN,1001,,华夏债券-A/B,2020-03-31,5,3
001003.OFCN,1003,,华夏债券-C,2020-03-31,5,3
001004.OFCN,1004,,新华稳健回报灵活配置混合,2020-03-31,3,3
001007.OFCN,1007,,国联安鑫安灵活配置混合,2020-03-31,3,3
001009.OFCN,1009,,上投摩根安全战略股票,2020-03-31,3,3
001011.OFCN,1011,,华夏希望债券-A,2020-03-31,5,3
001013.OFCN,1013,,华夏希望债券-C,2020-03-31,5,3
001028.OFCN,1028,,华安物联网主题股票,2020-03-31,3,3
001031.OFCN,1031,,华夏安康信用优选债券-A,2020-03-31,5,3
001033.OFCN,1033,,华夏安康信用优选债券-C,2020-03-31,5,3
001036.OFCN,1036,,嘉实企业变革股票,2020-03-31,3,3
001039.OFCN,1039,,嘉实先进制造股票,2020-03-31,3,3
001050.OFCN,1050,,汇添富成长多因子量化策略股票,2020-03-31,3,3
001070.OFCN,1070,,建信信息产业股票,2020-03-31,3,3
001072.OFCN,1072,,华安智能装备主题股票,2020-03-31,3,3
001074.OFCN,1074,,华泰柏瑞量化驱动灵活配置混合-A,2020-03-31,3,3
001106.OFCN,1106,,华商健康生活灵活配置混合,2020-03-31,3,3
001125.OFCN,1125,,博时互联网主题灵活配置混合,2020-03-31,3,3
001126.OFCN,1126,,上投摩根卓越制造股票,2020-03-31,3,3
001140.OFCN,1140,,工银瑞信总回报灵活配置混合-A,2020-03-31,3,3
001144.OFCN,1144,,大成互联网思维混合,2020-03-31,3,3
001148.OFCN,1148,,申万菱信多策略灵活配置混合-A,2020-03-31,3,3
001163.OFCN,1163,,银华中国梦30股票,2020-03-31,3,3
001195.OFCN,1195,,工银瑞信农业产业股票,2020-03-31,3,3
001196.OFCN,1196,,东方鼎新灵活配置混合-A,2020-03-31,3,3
001226.OFCN,1226,,中邮稳健添利灵活配置混合,2020-03-31,3,3
001230.OFCN,1230,,鹏华医药科技股票,2020-03-31,3,3
001236.OFCN,1236,,博时丝路主题股票-A,2020-03-31,3,3
001247.OFCN,1247,,华泰柏瑞新利灵活配置混合-A,2020-03-31,3,3
001252.OFCN,1252,,中海进取收益灵活配置混合,2020-03-31,3,3
001254.OFCN,1254,,泰达宏利新起点灵活配置混合-A,2020-03-31,3,3
001256.OFCN,1256,,泓德优选成长混合,2020-03-31,3,3
001257.OFCN,1257,,兴业收益增强债券-A,2020-03-31,3,3
001258.OFCN,1258,,兴业收益增强债券-C,2020-03-31,3,3
001265.OFCN,1265,,国泰兴益灵活配置混合-A,2020-03-31,3,3
001267.OFCN,1267,,泰达宏利蓝筹价值混合,2020-03-31,3,3
001268.OFCN,1268,,富国国家安全主题混合,2020-03-31,3,3
001270.OFCN,1270,,英大灵活配置混合-A,2020-03-31,3,3
001271.OFCN,1271,,英大灵活配置混合-B,2020-03-31,3,3
001279.OFCN,1279,,中海积极增利灵活配置混合,2020-03-31,3,3
001283.OFCN,1283,,红塔红土盛金新动力灵活配置混合-A,2020-03-31,3,3
001284.OFCN,1284,,红塔红土盛金新动力灵活配置混合-C,2020-03-31,3,3
001297.OFCN,1297,,平安智慧中国灵活配置混合,2020-03-31,3,3
001298.OFCN,1298,,金鹰民族新兴灵活配置混合,2020-03-31,3,3
001306.OFCN,1306,,中欧永裕混合-A,2020-03-31,3,3
001307.OFCN,1307,,中欧永裕混合-C,2020-03-31,3,3
001313.OFCN,1313,,上投摩根智慧互联股票,2020-03-31,3,3
001319.OFCN,1319,,农银汇理信息传媒主题股票,2020-03-31,3,3
001327.OFCN,1327,,鹏华弘华灵活配置混合-A,2020-03-31,3,3
